feature,mean_malicious,mean_benign,var_malicious,var_benign,var_gap,rank_biserial,abs_effect,mwu_p
n_abs_paths,0.7134,0.0977,0.8592,0.1229,0.7362,0.4516,0.4516,0.0
special_ratio,0.1863,0.1436,0.0065,0.0077,0.0012,0.3175,0.3175,1.5819157230723307e-152
max_token_len,16.0911,11.5774,112.8247,34.7471,78.0777,0.3032,0.3032,8.155013242778459e-140
len_chars,52.4285,37.7934,2055.0879,821.8043,1233.2836,0.2469,0.2469,5.210857347658435e-93
digit_ratio,0.06,0.0206,0.0124,0.0023,0.0101,0.2381,0.2381,1.2485779584323877e-121
n_redirect_out,0.3148,0.0555,0.3404,0.0671,0.2733,0.2286,0.2286,5.7168486543953965e-273
n_sensitive_paths,0.2564,0.0226,0.3678,0.0302,0.3376,0.1823,0.1823,5.166606776424064e-272
has_shell_bin,0.1885,0.007,0.153,0.0069,0.1461,0.1815,0.1815,0.0
n_pipes,0.3111,0.5567,1.279,1.1679,0.1111,-0.1664,0.1664,7.78530686865963e-69
mean_token_len,7.2652,6.2483,13.0384,7.0557,5.9827,0.1607,0.1607,1.8702920618808925e-40
has_dev_null,0.1479,0.0048,0.126,0.0048,0.1213,0.1431,0.1431,1.8168231027930973e-263
len_tokens,6.7144,5.3119,36.269,16.6322,19.6368,0.1352,0.1352,1.0925888628248917e-29
has_staging_dir,0.1213,0.0095,0.1066,0.0094,0.0972,0.1118,0.1118,1.9109244086546825e-174
b64_run_len,3.2872,0.9643,82.0887,19.1718,62.9169,0.1021,0.1021,1.7352718375709023e-76
n_quotes,0.9597,0.6111,4.8901,2.5604,2.3298,0.0814,0.0814,1.358169851373553e-20
has_ipv4,0.0774,0.0068,0.0714,0.0067,0.0647,0.0706,0.0706,4.804147420723235e-106
has_lotl_bin,0.1085,0.1638,0.0968,0.137,0.0402,-0.0553,0.0553,1.2730090621722955e-13
has_base64_blob,0.0643,0.0126,0.0602,0.0124,0.0477,0.0517,0.0517,1.926407837909984e-55
has_fetch_bin,0.063,0.0119,0.059,0.0118,0.0472,0.051,0.051,8.81360192451598e-56
n_flags,1.1456,0.9742,2.6275,1.7571,0.8704,0.0509,0.0509,6.302463857930868e-06
head_is_lotl,0.0836,0.1295,0.0766,0.1128,0.0361,-0.0459,0.0459,1.0052826566669534e-11
has_stderr_merge,0.0462,0.0016,0.0441,0.0016,0.0425,0.0446,0.0446,2.5122634271999454e-80
has_shell_flag_i,0.041,0.0024,0.0393,0.0024,0.0369,0.0386,0.0386,3.79843252442705e-64
has_exec_flag,0.0374,0.0048,0.036,0.0048,0.0312,0.0326,0.0326,3.5765481915025434e-43
head_is_shell,0.0328,0.0007,0.0317,0.0007,0.0311,0.0321,0.0321,1.4214467031849517e-61
has_enum_bin,0.0534,0.0221,0.0506,0.0216,0.029,0.0314,0.0314,1.3165044840806379e-18
has_dev_tcp,0.0295,0.0,0.0286,0.0,0.0286,0.0295,0.0295,4.256275331292075e-61
has_interp_bin,0.0272,0.0067,0.0265,0.0066,0.0199,0.0205,0.0205,9.217286208718882e-20
has_hidden_path,0.0262,0.0061,0.0255,0.0061,0.0195,0.0201,0.0201,5.2202859973402094e-20
has_url,0.0272,0.0103,0.0265,0.0102,0.0163,0.0169,0.0169,1.2470662456710538e-11
head_is_interp,0.0167,0.0019,0.0164,0.0019,0.0146,0.0149,0.0149,1.3287900425481946e-21
has_heredoc,0.0138,0.0011,0.0136,0.0011,0.0125,0.0127,0.0127,1.3237941732293112e-20
head_is_privesc,0.0433,0.0555,0.0414,0.0524,0.011,-0.0122,0.0122,0.00861692575713903
has_long_flag,0.1098,0.1217,0.0978,0.1069,0.0091,-0.0118,0.0118,0.08058871475647648
has_evasion_tok,0.0148,0.0057,0.0145,0.0057,0.0089,0.0091,0.0091,1.038572758987472e-06
has_home_ref,0.017,0.0085,0.0168,0.0085,0.0083,0.0085,0.0085,7.185213966798176e-05
has_pipe_to_shell,0.0069,0.0008,0.0068,0.0008,0.0061,0.0061,0.0061,9.570040830025815e-10
has_hex_escape,0.0059,0.0002,0.0059,0.0002,0.0057,0.0057,0.0057,1.8427635562315493e-11
has_decode_exec,0.0023,0.0,0.0023,0.0,0.0023,0.0023,0.0023,4.575170679260224e-06
has_fetch_exec_chain,0.0023,0.0,0.0023,0.0,0.0023,0.0023,0.0023,4.575170679260224e-06
has_quote_splice,0.0013,0.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0005317245852165585
has_ifs_expansion,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.0027000379164024454
has_private_ip,0.0007,0.0007,0.0007,0.0007,0.0,-0.0,0.0,0.9999465825707994
