feature,mean_malicious,mean_benign,var_malicious,var_benign,rank_biserial,abs_effect,mwu_p
digit_ratio,0.0831,0.0372,0.0122,0.0057,0.2343,0.2343,2.9935812134346473e-66
len_tokens,4.2872,5.846,147.3219,41.8348,-0.2072,0.2072,2.509189885506643e-43
mean_token_len,7.8383,7.0466,25.4891,30.4406,0.1978,0.1978,1.4359486303414446e-38
has_fetch_bin,0.2188,0.0339,0.171,0.0328,0.1849,0.1849,8.550214322135645e-147
len_chars,36.7624,41.9769,11779.6661,1822.2573,-0.1708,0.1708,3.4169662936637404e-29
n_flags,0.4789,0.9199,0.7115,2.6498,-0.1246,0.1246,1.4969470283772322e-20
head_is_lotl,0.0131,0.1307,0.0129,0.1136,-0.1176,0.1176,2.0773126484262892e-49
has_url,0.1363,0.0237,0.1178,0.0231,0.1126,0.1126,1.2986707579123934e-82
n_quotes,0.3133,0.7838,4.3783,4.8427,-0.1116,0.1116,1.858763003676424e-30
n_pipes,0.0914,0.3199,0.1594,0.8801,-0.1065,0.1065,6.49226308215317e-31
has_hidden_path,0.1473,0.0414,0.1256,0.0397,0.1058,0.1058,3.052788936663238e-57
special_ratio,0.1509,0.1419,0.0086,0.0105,0.0913,0.0913,2.0062468521279804e-09
has_lotl_bin,0.1128,0.2027,0.1001,0.1617,-0.09,0.09,7.434907880837664e-19
max_token_len,15.5405,13.7102,368.5442,138.8617,0.0894,0.0894,4.222010832567182e-09
n_abs_paths,0.3138,0.1563,0.5488,0.1998,0.0882,0.0882,1.7599668325014067e-20
has_long_flag,0.0068,0.0794,0.0067,0.0731,-0.0726,0.0726,1.8272849125979625e-30
has_shell_bin,0.0846,0.0151,0.0775,0.0149,0.0695,0.0695,7.756713338764717e-50
head_is_privesc,0.0914,0.0265,0.0831,0.0258,0.0649,0.0649,4.345696620163019e-34
n_sensitive_paths,0.1128,0.0317,0.1942,0.0495,0.0619,0.0619,2.447555387531272e-32
head_is_shell,0.0569,0.0044,0.0537,0.0043,0.0526,0.0526,3.7361029187473e-52
has_ipv4,0.0574,0.012,0.0542,0.0119,0.0454,0.0454,4.294948298152879e-30
has_evasion_tok,0.0569,0.0158,0.0537,0.0156,0.0411,0.0411,1.6103013829960463e-22
b64_run_len,3.8966,2.6587,1059.2704,68.0007,-0.0322,0.0322,6.438368273845096e-05
has_staging_dir,0.0386,0.0084,0.0372,0.0083,0.0303,0.0303,4.772788767848135e-20
has_hex_escape,0.0266,0.0023,0.0259,0.0023,0.0244,0.0244,3.4365189236916535e-24
has_base64_blob,0.0423,0.0642,0.0405,0.0601,-0.0219,0.0219,0.0004109831048440184
has_home_ref,0.011,0.0287,0.0109,0.0279,-0.0177,0.0177,1.241108566498936e-05
head_is_interp,0.0339,0.0167,0.0328,0.0164,0.0172,0.0172,5.273744277196372e-06
n_redirect_out,0.0825,0.0961,0.0935,0.2101,0.0114,0.0114,0.08495120632569327
has_exec_flag,0.0219,0.0106,0.0215,0.0105,0.0113,0.0113,0.00019648699515143432
has_enum_bin,0.0235,0.0348,0.023,0.0336,-0.0113,0.0113,0.014868283661508724
has_interp_bin,0.0386,0.0287,0.0372,0.0279,0.0099,0.0099,0.03047793308470537
has_pipe_to_shell,0.011,0.0012,0.0109,0.0012,0.0097,0.0097,9.269460861465398e-10
has_dev_null,0.0042,0.0078,0.0042,0.0078,-0.0037,0.0037,0.09480649907324151
has_fetch_exec_chain,0.0037,0.0003,0.0036,0.0003,0.0033,0.0033,0.0002534508944113234
has_shell_flag_i,0.0,0.0026,0.0,0.0026,-0.0026,0.0026,0.025231392005796098
has_private_ip,0.0026,0.0,0.0026,0.0,0.0026,0.0026,0.00010697673721467899
has_heredoc,0.001,0.0035,0.001,0.0035,-0.0024,0.0024,0.08447257656981873
has_stderr_merge,0.0026,0.0033,0.0026,0.0033,-0.0007,0.0007,0.6371388046256387
has_dev_tcp,0.0005,0.0,0.0005,0.0,0.0005,0.0005,0.08329135397053665
has_decode_exec,0.0,0.0003,0.0,0.0003,-0.0003,0.0003,0.4143482185800563
has_ifs_expansion,0.0,0.0002,0.0,0.0002,-0.0002,0.0002,0.5639404245532738
has_quote_splice,0.0005,0.0003,0.0005,0.0003,0.0002,0.0002,0.7388717257931136
