feature,mean_malicious,mean_benign,var_all,rank_biserial,abs_effect,mwu_p
special_ratio,0.1863,0.1436,0.0078,0.3175,0.3175,1.581915723072331e-152
max_token_len,16.0911,11.5774,58.081,0.3032,0.3032,8.155013242778455e-140
char_entropy,4.0607,3.8523,0.2269,0.2876,0.2876,1.8935878426560235e-125
n_redirects,0.521,0.0823,0.4211,0.2515,0.2515,1.651938717848125e-290
len_chars,52.4285,37.7934,1170.1727,0.2469,0.2469,5.210857347658432e-93
digit_ratio,0.06,0.0206,0.0051,0.2381,0.2381,1.2485779584323875e-121
n_sensitive_paths,0.2564,0.0226,0.1248,0.1823,0.1823,5.166606776424064e-272
n_pipes,0.3111,0.5567,1.2069,-0.1664,0.1664,7.785306868659632e-69
mean_token_len,7.2652,6.2483,8.7444,0.1607,0.1607,1.870292061880893e-40
len_tokens,6.7144,5.3119,21.9081,0.1352,0.1352,1.0925888628248921e-29
token_entropy,2.28,2.1079,0.681,0.1151,0.1151,6.188956234776992e-22
b64_run_len,3.2872,0.9643,35.9088,0.1021,0.1021,1.7352718375709023e-76
n_parens,0.5187,0.1144,1.6721,0.0963,0.0963,6.664411944741709e-85
n_quotes,0.9597,0.6111,3.1653,0.0814,0.0814,1.358169851373553e-20
has_ipv4,0.0774,0.0068,0.0238,0.0706,0.0706,4.804147420723235e-106
n_ipv4,0.0787,0.008,0.0276,0.0705,0.0705,8.090132885921768e-106
n_semicolons,0.2295,0.0668,0.3902,0.068,0.068,6.643407005511582e-48
has_lotl_bin,0.1056,0.1632,0.1267,-0.0576,0.0576,9.744126075382953e-15
has_base64_blob,0.0643,0.0126,0.0248,0.0517,0.0517,1.9264078379099843e-55
has_fetch_bin,0.0626,0.0118,0.0239,0.0508,0.0508,1.1417304325280673e-55
has_shell_bin,0.0554,0.0063,0.0183,0.0491,0.0491,1.4888509515917703e-67
n_backticks_subshell,0.0849,0.0348,0.0979,0.036,0.036,3.978810312107378e-23
n_enum_bins,0.0541,0.0225,0.0316,0.03,0.03,2.0802902398096623e-17
has_enum_bin,0.0518,0.0219,0.0285,0.0299,0.0299,2.1616149890512273e-17
has_dev_tcp,0.0295,0.0,0.0073,0.0295,0.0295,4.256275331292075e-61
n_ports,0.0302,0.0072,0.0262,0.0205,0.0205,4.517478108787976e-24
has_interp_bin,0.0256,0.0066,0.0112,0.019,0.019,8.023543597185671e-18
has_url,0.0272,0.0103,0.0143,0.0169,0.0169,1.2470662456710533e-11
n_and_or,0.0548,0.0388,0.0801,0.0167,0.0167,5.774383524249671e-07
has_shell_flag_i,0.019,0.0023,0.0064,0.0167,0.0167,2.0699650008756355e-23
has_exec_flag,0.1607,0.1454,0.1269,0.0153,0.0153,0.040194934585153774
has_privesc_bin,0.1039,0.1173,0.101,-0.0133,0.0133,0.04455881251762498
has_evasion_tok,0.0164,0.0071,0.0093,0.0093,0.0093,4.283538745331116e-06
n_braces,0.1849,0.1496,0.6375,0.0084,0.0084,0.07787871763877681
has_hex_escape,0.0059,0.0002,0.0016,0.0057,0.0057,1.842763556231549e-11
nonprintable_ratio,0.0,0.0002,0.0,-0.0015,0.0015,0.030659361627696627
has_eval,0.001,0.0001,0.0003,0.0009,0.0009,0.020919583130359323
