feature,rf_mdi,xgb_gain,permutation,rf_mdi_rank,xgb_gain_rank,permutation_rank,consensus_rank,dataset
n_pipes,0.06778415824639844,0.06530244,0.047573770491803245,6.0,4.0,2.0,4.0,dataset1
special_ratio,0.15076301705302336,0.023898281,0.09265573770491799,1.0,12.0,1.0,4.666666666666667,dataset1
n_redirects,0.06187913609666423,0.083557494,0.031639344262295054,8.0,3.0,3.0,4.666666666666667,dataset1
n_sensitive_paths,0.04412544510659799,0.111682035,0.03118032786885242,10.0,1.0,4.0,5.0,dataset1
has_lotl_bin,0.026409301691313544,0.054362502,0.00973770491803273,12.0,5.0,8.0,8.333333333333334,dataset1
max_token_len,0.1023388673769887,0.019701509,0.017836065573770477,3.0,17.0,6.0,8.666666666666666,dataset1
digit_ratio,0.06284177946764756,0.021679409,0.023180327868852425,7.0,15.0,5.0,9.0,dataset1
n_parens,0.017493767121636396,0.04410834,0.005672131147540926,14.0,7.0,9.0,10.0,dataset1
char_entropy,0.10449695989467225,0.012536576,0.00996721311475406,2.0,27.0,7.0,12.0,dataset1
has_shell_bin,0.008286207053152722,0.051987726,0.0019999999999999463,18.0,6.0,13.0,12.333333333333334,dataset1
has_privesc_bin,0.014216673583768468,0.022402637,0.0024262295081966647,15.0,13.0,11.0,13.0,dataset1
mean_token_len,0.0790473759061228,0.012020648,0.004163934426229454,4.0,29.0,10.0,14.333333333333334,dataset1
has_exec_flag,0.011622555097428666,0.020319527,0.0021639344262294634,17.0,16.0,12.0,15.0,dataset1
n_quotes,0.0176195983621421,0.019299833,0.0014098360655737108,13.0,18.0,15.0,15.333333333333334,dataset1
has_fetch_bin,0.007620371820982773,0.035082348,0.0007213114754097804,19.0,9.0,19.0,15.666666666666666,dataset1
len_chars,0.06963311696656635,0.012262753,0.0014426229508196276,5.0,28.0,14.0,15.666666666666666,dataset1
has_ipv4,0.005804908863043773,0.09703037,3.278688524586126e-05,22.0,2.0,29.0,17.666666666666668,dataset1
token_entropy,0.04415749049659932,0.018786646,9.83606557376726e-05,9.0,19.0,26.0,18.0,dataset1
has_enum_bin,0.004895335378210835,0.031517677,0.0005245901639343686,25.0,11.0,20.0,18.666666666666668,dataset1
b64_run_len,0.012853155512306204,0.013610606,0.0011803278688523934,16.0,26.0,16.0,19.333333333333332,dataset1
len_tokens,0.037694599903920746,0.014610925,0.00013114754098355607,11.0,23.0,25.0,19.666666666666668,dataset1
n_enum_bins,0.004868297213289551,0.033972606,0.00016393442622947285,26.0,10.0,23.0,19.666666666666668,dataset1
n_braces,0.007274925973904664,0.014506692,0.0008852459016392977,20.0,24.0,18.0,20.666666666666668,dataset1
n_semicolons,0.007123187558621157,0.016720226,0.00042622950819667384,21.0,20.0,22.0,21.0,dataset1
n_and_or,0.004627029726577439,0.022089392,0.00016393442622946174,27.0,14.0,24.0,21.666666666666668,dataset1
n_backticks_subshell,0.005305575701735229,0.014503875,0.0010491803278687706,24.0,25.0,17.0,22.0,dataset1
has_interp_bin,0.003880541490786178,0.039611835,-6.557377049182245e-05,28.0,8.0,35.0,23.666666666666668,dataset1
n_ipv4,0.005663142911099828,0.015550801,-3.278688524593898e-05,23.0,21.0,34.0,26.0,dataset1
has_base64_blob,0.002426923058156021,0.011247068,0.0004918032786884741,29.0,30.0,21.0,26.666666666666668,dataset1
n_ports,0.002397561781972434,0.008972279,6.557377049177804e-05,30.0,32.0,27.0,29.666666666666668,dataset1
has_url,0.00132025946942226,0.015446373,-0.0003606557377049624,32.0,22.0,37.0,30.333333333333332,dataset1
has_shell_flag_i,0.000722562204892123,0.0054909615,3.278688524588347e-05,33.0,33.0,28.0,31.333333333333332,dataset1
has_evasion_tok,0.002027150354072717,0.011125234,-0.0003278688524590567,31.0,31.0,36.0,32.666666666666664,dataset1
has_dev_tcp,0.00033444247983312815,0.0,0.0,34.0,36.0,31.5,33.833333333333336,dataset1
nonprintable_ratio,0.0001275273089337748,0.0050024847,0.0,37.0,34.0,31.5,34.166666666666664,dataset1
has_eval,0.00018520356329172316,0.0,0.0,35.0,36.0,31.5,34.166666666666664,dataset1
has_hex_escape,0.00013184820422445403,0.0,0.0,36.0,36.0,31.5,34.5,dataset1
has_fetch_bin,0.053095993514776736,0.09038018,0.03298538622129432,8.0,2.0,2.0,4.0,dataset2
has_lotl_bin,0.042016373572399145,0.1696783,0.014874739039665952,10.0,1.0,7.0,6.0,dataset2
digit_ratio,0.08194074264168323,0.0199473,0.028079331941544848,5.0,14.0,3.0,7.333333333333333,dataset2
token_entropy,0.062453287812527174,0.032335926,0.013726513569937338,7.0,7.0,9.0,7.666666666666667,dataset2
has_privesc_bin,0.024792705196154015,0.030846128,0.01957202505219202,14.0,9.0,4.0,9.0,dataset2
has_shell_bin,0.025838902987688737,0.0653844,0.011847599164926892,13.0,4.0,11.0,9.333333333333334,dataset2
has_evasion_tok,0.026364998346207282,0.05483146,0.00829853862212937,12.0,5.0,13.0,10.0,dataset2
n_sensitive_paths,0.02639408125836847,0.07171581,0.0029749478079331704,11.0,3.0,17.0,10.333333333333334,dataset2
len_chars,0.08506287642714452,0.0146340225,0.013883089770354873,3.0,21.0,8.0,10.666666666666666,dataset2
special_ratio,0.10608727827778981,0.012504764,0.03684759916492688,2.0,31.0,1.0,11.333333333333334,dataset2
max_token_len,0.07915526716302408,0.014109494,0.01842379958246344,6.0,26.0,5.0,12.333333333333334,dataset2
mean_token_len,0.08479455449459904,0.013967933,0.016127348643006235,4.0,27.0,6.0,12.333333333333334,dataset2
len_tokens,0.050789608562290624,0.01528179,0.00949895615866384,9.0,19.0,12.0,13.333333333333334,dataset2
has_url,0.017549954042121625,0.030704238,0.0037056367432150017,15.0,10.0,16.0,13.666666666666666,dataset2
has_interp_bin,0.013524761329504276,0.02604798,0.006732776617954017,17.0,11.0,14.0,14.0,dataset2
n_pipes,0.015206386506105321,0.025813378,0.004540709812108523,16.0,12.0,15.0,14.333333333333334,dataset2
char_entropy,0.11370914046937071,0.010941491,0.012943632567849661,1.0,33.0,10.0,14.666666666666666,dataset2
has_hex_escape,0.005579153242762648,0.05074722,0.0026096033402922547,25.0,6.0,19.0,16.666666666666668,dataset2
n_redirects,0.011945667389055729,0.024053704,0.0013569937369519725,19.0,13.0,22.0,18.0,dataset2
n_quotes,0.010383277822413764,0.016494608,0.0029227557411273253,20.0,17.0,18.0,18.333333333333332,dataset2
b64_run_len,0.012714230935270762,0.014986057,0.0020876826722338038,18.0,20.0,20.0,19.333333333333332,dataset2
n_semicolons,0.007654500660671284,0.03175125,5.2192066805845094e-05,21.0,8.0,30.5,19.833333333333332,dataset2
n_braces,0.006583841174163667,0.018153453,0.0013048016701461274,23.0,15.0,23.5,20.5,dataset2
n_enum_bins,0.003717836550991356,0.018057708,0.001617954070981198,27.0,16.0,21.0,21.333333333333332,dataset2
has_exec_flag,0.006185057435511781,0.014481204,0.00046972860125260585,24.0,23.0,27.0,24.666666666666668,dataset2
n_parens,0.007209098039573203,0.013204698,0.0013048016701461274,22.0,29.0,23.5,24.833333333333332,dataset2
has_enum_bin,0.0034256283275654613,0.014536678,0.001148225469728592,29.0,22.0,25.0,25.333333333333332,dataset2
has_base64_blob,0.0036696049382251494,0.016146954,5.2192066805845094e-05,28.0,18.0,30.5,25.5,dataset2
has_ipv4,0.0038670299847353607,0.0143515235,5.2192066805845094e-05,26.0,24.0,30.5,26.833333333333332,dataset2
n_backticks_subshell,0.0031327517795582444,0.013125055,0.000574112734864296,31.0,30.0,26.0,29.0,dataset2
n_ports,0.0010530939211358154,0.014167757,5.2192066805845094e-05,32.0,25.0,30.5,29.166666666666668,dataset2
n_ipv4,0.0032617889957222645,0.0012251182,0.00010438413361169019,30.0,34.0,28.0,30.666666666666668,dataset2
n_and_or,0.00037648901705309297,0.0133872265,0.0,34.0,28.0,34.5,32.166666666666664,dataset2
nonprintable_ratio,0.0003787337456249434,0.012005221,-5.2192066805845094e-05,33.0,32.0,37.0,34.0,dataset2
has_dev_tcp,4.09686412203756e-05,0.0,0.0,35.0,36.0,34.5,35.166666666666664,dataset2
has_shell_flag_i,3.0763201154097004e-05,0.0,0.0,36.0,36.0,34.5,35.5,dataset2
has_eval,1.357159583627852e-05,0.0,0.0,37.0,36.0,34.5,35.833333333333336,dataset2
